current_time,average_lux,average_infrared,average_visible,average_full_spectrum
2025-09-19 08:42:06,0.0,704.5,24128507.0,24128875.166666668
2025-09-19 08:48:08,0.0,810.3333333333334,27995177.833333332,27995605.0
2025-09-19 08:54:09,0.0,906.6666666666666,31534164.166666668,31534645.333333332
2025-09-19 09:00:10,0.0,989.1666666666666,34527011.666666664,34527538.5
2025-09-19 09:06:12,0.0,1058.1666666666667,37006488.166666664,37007052.833333336
2025-09-19 09:12:13,0.0,1115.8333333333333,39114588.333333336,39115185.166666664
2025-09-19 09:18:14,0.0,1144.6666666666667,40086719.666666664,40087331.333333336
2025-09-19 09:24:15,0.0,1169.0,40949621.5,40950246.333333336
2025-09-19 09:30:17,0.0,1201.3333333333333,42063748.833333336,42064390.666666664
2025-09-19 09:36:18,0.0,1248.8333333333333,43691248.833333336,43691915.5
2025-09-19 09:42:19,0.0,1309.0,45777506.5,45778205.0
2025-09-19 09:48:21,0.0,1371.0,47885611.0,47886341.666666664
2025-09-19 09:54:22,0.0,1435.8333333333333,50124788.333333336,50125553.166666664
2025-09-19 10:00:23,0.0,1511.5,52724419.0,52725223.5
2025-09-19 10:06:24,0.0,1595.1666666666667,55673577.666666664,55674427.166666664
2025-09-19 10:12:26,0.0,1680.8333333333333,58622738.333333336,58623632.833333336
2025-09-19 10:18:27,0.0,1779.3333333333333,62107114.333333336,62108062.0
2025-09-19 10:24:28,0.0,1837.8333333333333,64215215.333333336,64216195.166666664
2025-09-19 10:30:30,0.0,1948.3333333333333,68103735.83333333,68104775.0
2025-09-19 10:36:31,0.0,2072.8333333333335,72614852.83333333,72615960.83333333
2025-09-19 10:42:32,0.0,2185.3333333333335,76798282.83333333,76799454.66666667
2025-09-19 10:48:33,0.0,2272.6666666666665,80107887.66666667,80109110.0
2025-09-19 10:54:35,0.0,2361.8333333333335,83351959.33333333,83353231.16666667
2025-09-19 11:00:36,0.0,2501.6666666666665,88256301.66666667,88257648.33333333
2025-09-19 11:06:37,0.0,2632.5,92887572.5,92888989.83333333
2025-09-19 11:12:39,0.0,2740.0,96634097.5,96635572.0
2025-09-19 11:18:40,0.0,2834.8333333333335,99998322.33333333,99999848.16666667
2025-09-19 11:24:41,0.0,2943.5,103832228.5,103833812.83333333
2025-09-19 11:30:42,0.0,3034.0,107076301.5,107077935.33333333
2025-09-19 11:36:44,0.0,3136.3333333333335,110735441.33333333,110737131.0
2025-09-19 11:42:45,0.0,3218.1666666666665,113684598.16666667,113686332.83333333
2025-09-19 11:48:46,0.0,3310.3333333333335,116961440.33333333,116963225.0
2025-09-19 11:54:47,0.0,3412.6666666666665,120686115.16666667,120687956.66666667
2025-09-19 12:00:49,0.0,3453.6666666666665,122138848.66666667,122140712.33333333
2025-09-19 12:06:50,0.0,3527.5,124836780.0,124838684.83333333
2025-09-19 12:12:51,0.0,3572.0,126442432.0,126444361.33333333
2025-09-19 12:18:53,0.0,3641.5,128867296.5,128869262.83333333
2025-09-19 12:24:54,0.0,3691.5,130647714.0,130649707.5
2025-09-19 12:30:55,0.0,3689.8333333333335,130604022.33333333,130606015.16666667
2025-09-19 12:36:56,0.0,3711.3333333333335,130975408.83333333,130977407.33333333
2025-09-19 12:42:58,0.0,3721.5,131008186.5,131010185.5
2025-09-19 12:48:59,0.0,3701.0,129981451.0,129983434.33333333
2025-09-19 12:55:00,0.0,3745.3333333333335,131019132.83333333,131021132.0
2025-09-19 13:01:02,0.0,3752.3333333333335,130844379.83333333,130846376.33333333
2025-09-19 13:07:03,0.0,3782.3333333333335,131335922.33333333,131337926.33333333
2025-09-19 13:13:04,0.0,3802.0,131335942.0,131337946.0
2025-09-19 13:19:05,0.0,3821.3333333333335,131215813.83333333,131217816.0
2025-09-19 13:25:07,0.0,3843.8333333333335,130855393.83333333,130857390.5
2025-09-19 13:31:08,0.0,3920.0,132155247.5,132157264.0
2025-09-19 13:37:09,0.0,3922.3333333333335,131095767.33333333,131097767.66666667
2025-09-19 13:45:00,0.0,3964.6666666666665,130975662.16666667,130977660.66666667
2025-09-19 13:52:03,0.0,3980.3333333333335,130451397.83333333,130453388.33333333
2025-09-19 13:59:05,7.916666666666667,4018.5833333333335,130779111.08333333,130781106.58333333
2025-09-19 14:04:09,16.583333333333332,4034.25,130364071.75,130366060.91666667
2025-09-19 14:11:12,31.583333333333332,4140.416666666667,132221002.91666667,132223020.41666667
2025-09-19 14:18:14,45.333333333333336,4179.0,132008052.75,132010067.0
2025-09-19 14:25:17,65.91666666666667,4332.083333333333,134815288.33333334,134817345.41666666
2025-09-19 14:32:20,100.41666666666667,4708.75,143449901.25,143452090.08333334
2025-09-19 14:39:25,134.33333333333334,5089.083333333333,152264739.08333334,152267062.41666666
2025-09-19 14:46:30,159.58333333333334,5269.833333333333,155470673.58333334,155473045.83333334
2025-09-19 14:53:18,187.91666666666666,5563.666666666667,162051773.66666666,162054246.33333334
2025-09-19 15:00:24,80.75,2282.4166666666665,66045178.666666664,66046186.416666664
2025-09-19 15:07:26,88.83333333333333,2369.3333333333335,68049544.33333333,68050582.66666667
2025-09-19 15:14:29,94.25,2391.5833333333335,68186097.83333333,68187138.25
2025-09-19 15:21:32,102.66666666666667,2439.8333333333335,68863341.08333333,68864391.83333333
2025-09-19 15:28:34,109.66666666666667,2511.0,70452636.0,70453711.0
2025-09-19 15:35:37,119.58333333333333,2625.75,73134224.5,73135340.41666667
2025-09-19 15:42:39,130.25,2783.25,77132017.0,77133193.91666667
2025-09-19 15:49:42,140.66666666666666,2931.6666666666665,80884044.16666667,80885278.33333333
2025-09-19 15:56:44,148.66666666666666,3067.5833333333335,84494066.33333333,84495355.58333333
2025-09-19 16:03:47,152.41666666666666,3167.6666666666665,87361322.66666667,87362655.66666667
2025-09-19 16:10:50,151.75,3202.5833333333335,88579216.33333333,88580567.91666667
2025-09-19 16:17:52,151.58333333333334,3251.0833333333335,90190333.58333333,90191709.75
2025-09-19 16:24:55,147.66666666666666,3240.25,90244935.25,90246312.25
