current_time,average_lux,average_infrared,average_visible,average_full_spectrum
2025-09-17 07:49:53,239.5,3146.1666666666665,77268911.16666667,77270090.16666667
2025-09-17 07:55:55,260.0,3619.1666666666665,90572989.16666667,90574371.16666667
2025-09-17 08:01:56,269.5,4143.666666666667,106727891.16666667,106729519.66666667
2025-09-17 08:07:57,279.8333333333333,4602.833333333333,120654537.83333333,120656378.83333333
2025-09-17 08:13:58,287.5,5064.0,134941629.0,134943688.0
2025-09-17 08:20:00,291.1666666666667,5519.0,149469009.0,149471289.66666666
2025-09-17 08:26:01,286.6666666666667,6047.0,167262289.5,167264841.66666666
2025-09-17 08:32:02,278.0,6567.166666666667,185208477.16666666,185211303.16666666
2025-09-17 08:38:04,270.0,7009.833333333333,200598722.33333334,200601783.16666666
2025-09-17 08:44:05,260.0,7431.166666666667,215442821.16666666,215446108.5
2025-09-17 08:50:06,249.5,7828.833333333333,229620623.83333334,229624127.5
2025-09-17 08:56:07,239.5,8206.5,243044754.0,243048462.5
2025-09-17 09:02:09,233.16666666666666,8528.833333333334,254349863.83333334,254353744.83333334
2025-09-17 09:08:10,227.5,8797.666666666666,263732560.16666666,263736584.33333334
2025-09-17 09:14:11,225.66666666666666,8999.833333333334,270603014.8333333,270607143.8333333
2025-09-17 09:20:12,224.0,9173.666666666666,276490416.1666667,276494635.0
2025-09-17 09:26:14,226.0,9250.0,278762372.5,278766626.0
2025-09-17 09:32:15,231.83333333333334,9236.666666666666,277626419.1666667,277630655.3333333
2025-09-17 09:38:16,230.83333333333334,9185.5,276053528.0,276057740.1666667
2025-09-17 09:44:18,231.66666666666666,9187.166666666666,276031684.6666667,276035896.5
2025-09-17 09:50:19,234.16666666666666,9235.666666666666,277429813.1666667,277434046.3333333
2025-09-17 09:56:20,233.33333333333334,9319.833333333334,280215134.8333333,280219410.5
2025-09-17 10:02:21,230.66666666666666,9522.833333333334,287140202.8333333,287144584.1666667
2025-09-17 10:08:23,229.0,9862.0,298467174.5,298471728.6666667
2025-09-17 10:14:24,227.0,10194.666666666666,309575689.6666667,309580413.3333333
2025-09-17 10:20:25,222.16666666666666,10523.0,320804348.0,320809243.0
2025-09-17 10:26:27,221.16666666666666,10789.666666666666,329640917.1666667,329645947.0
2025-09-17 10:32:28,208.66666666666666,11185.0,343971632.5,343976881.0
2025-09-17 10:38:29,186.66666666666666,11652.333333333334,361764852.3333333,361770372.3333333
2025-09-17 10:44:30,167.66666666666666,12200.833333333334,381709885.8333333,381715710.1666667
2025-09-17 10:50:32,150.5,12651.166666666666,398257923.6666667,398264000.5
2025-09-17 10:56:33,143.83333333333334,13065.333333333334,412610502.8333333,412616798.6666667
2025-09-17 11:02:34,144.5,13321.166666666666,420879091.1666667,420885513.1666667
2025-09-17 11:08:36,151.66666666666666,13509.333333333334,426362374.3333333,426368880.0
2025-09-17 11:14:37,152.5,13662.333333333334,431277652.3333333,431284233.0
2025-09-17 11:20:38,161.0,13860.666666666666,436837403.1666667,436844068.6666667
2025-09-17 11:26:39,173.83333333333334,14059.333333333334,441938409.3333333,441945152.6666667
2025-09-17 11:32:41,180.5,14132.166666666666,443555012.1666667,443561780.1666667
2025-09-17 11:38:42,191.83333333333334,14425.166666666666,452020242.6666667,452027139.8333333
2025-09-17 11:44:43,209.83333333333334,14640.333333333334,457186800.3333333,457193776.3333333
2025-09-17 11:50:44,228.5,14782.833333333334,459786497.8333333,459793513.5
2025-09-17 11:56:46,246.33333333333334,14949.666666666666,463260019.6666667,463267088.3333333
2025-09-17 12:02:47,267.5,15155.0,467727527.5,467734664.3333333
2025-09-17 12:08:48,285.5,15282.166666666666,470010457.1666667,470017628.8333333
2025-09-17 12:14:50,299.5,15547.0,477044812.0,477052091.0
2025-09-17 12:20:51,328.6666666666667,15633.5,476859216.0,476866492.1666667
2025-09-17 12:26:52,360.8333333333333,15904.666666666666,482222434.6666667,482229792.6666667
2025-09-17 12:32:53,394.5,16134.333333333334,486165686.8333333,486173105.0
2025-09-17 12:38:55,423.3333333333333,16304.5,488645264.5,488652720.5
2025-09-17 12:44:56,458.6666666666667,16386.5,487607709.0,487615149.1666667
2025-09-17 12:50:57,490.0,16658.833333333332,493167533.8333333,493175058.8333333
2025-09-17 12:56:59,521.1666666666666,16805.333333333332,494598527.8333333,494606074.6666667
2025-09-17 13:03:00,566.0,17143.0,500813768.0,500821409.6666667
2025-09-17 13:09:01,600.8333333333334,17313.5,502703531.0,502711201.5
2025-09-17 13:15:02,637.8333333333334,17421.5,502244894.0,502252557.5
2025-09-17 13:21:04,668.3333333333334,17560.833333333332,503544810.8333333,503552494.1666667
2025-09-17 13:27:05,709.5,17673.666666666668,502824038.6666667,502831711.0
2025-09-17 13:33:06,766.8333333333334,17971.333333333332,506406916.3333333,506414643.3333333
2025-09-17 13:39:08,818.1666666666666,18327.5,512545717.5,512553538.1666667
2025-09-17 13:45:09,876.8333333333334,18529.5,512873594.5,512881420.1666667
2025-09-17 13:51:10,937.8333333333334,18845.166666666668,516642172.6666667,516650055.8333333
2025-09-17 13:57:11,978.3333333333334,19223.5,524670588.5,524678594.1666667
2025-09-17 14:03:13,1030.5,19435.0,526003345.0,526011371.0
2025-09-17 14:09:14,1124.1666666666667,20064.333333333332,536566031.8333333,536574219.0
2025-09-17 14:15:15,1182.1666666666667,20580.333333333332,547237830.3333334,547246180.3333334
2025-09-17 14:21:16,1279.5,21333.666666666668,561470601.1666666,561479168.3333334
2025-09-17 14:27:18,1392.0,22377.666666666668,583589707.6666666,583598612.3333334
2025-09-17 14:33:19,1566.5,24361.5,629804789.0,629814398.8333334
2025-09-17 14:39:20,1857.8333333333333,27403.0,698149913.0,698160565.6666666
2025-09-17 14:45:22,2049.8333333333335,29324.833333333332,740498367.3333334,740509666.1666666
2025-09-17 14:51:23,2332.8333333333335,32053.666666666668,799526286.1666666,799538485.6666666
2025-09-17 14:57:24,13975.666666666666,30670.666666666668,756239035.6666666,756250574.6666666
2025-09-17 15:03:26,8425.833333333334,7918.5,223241973.5,223245379.83333334
2025-09-17 15:09:27,4019.0,8162.333333333333,254939312.33333334,254943202.33333334
2025-09-17 15:15:28,5041.5,8586.166666666666,311365371.1666667,311370122.1666667
2025-09-17 15:21:30,6517.166666666667,9176.5,389560139.0,389566083.1666667
2025-09-17 15:27:31,8250.833333333334,9915.666666666666,496339238.1666667,496346811.6666667
2025-09-17 15:33:33,12100.0,12974.5,580041414.5,580050265.1666666
2025-09-17 15:39:34,13902.166666666666,13956.333333333334,604465106.3333334,604474329.6666666
2025-09-17 15:45:35,14965.333333333334,14436.833333333334,615639304.3333334,615648698.1666666
2025-09-17 15:51:37,17739.0,16268.5,663732903.5,663743031.1666666
2025-09-17 15:57:38,18329.666666666668,16631.333333333332,673082926.3333334,673093196.6666666
2025-09-17 16:03:39,19355.666666666668,17622.0,701132897.0,701143595.3333334
2025-09-17 16:09:41,20499.833333333332,18357.833333333332,720324465.3333334,720335456.5
2025-09-17 16:15:42,20066.833333333332,18243.666666666668,718445681.1666666,718456643.6666666
2025-09-17 16:21:44,19853.5,18279.0,720520991.5,720531985.6666666
2025-09-17 16:27:45,19966.333333333332,18516.166666666668,727806536.1666666,727817641.5
2025-09-17 16:33:46,19395.0,18272.166666666668,722268584.6666666,722279605.5
2025-09-17 16:39:48,18408.333333333332,18003.0,717691788.0,717702739.0
2025-09-17 16:45:49,18522.5,18120.666666666668,721056035.6666666,721067038.0
2025-09-17 16:51:50,9020.5,10756.333333333334,520598951.3333333,520606895.0
2025-09-17 16:57:52,5675.166666666667,9301.0,387692516.0,387698431.6666667
2025-09-17 17:03:53,5519.166666666667,8802.5,351287325.0,351292685.1666667
2025-09-17 17:09:55,6691.333333333333,9701.0,496033193.5,496040762.3333333
2025-09-17 17:15:56,7054.333333333333,8078.166666666667,234372160.66666666,234375736.83333334
2025-09-17 17:21:57,17267.666666666668,7648.166666666667,176362333.16666666,176365024.16666666
2025-09-17 17:27:59,2514.3333333333335,27976.166666666668,646377836.1666666,646387698.8333334
2025-09-17 17:34:00,2094.5,23588.833333333332,547732351.3333334,547740708.8333334
2025-09-17 17:40:01,2017.1666666666667,22243.333333333332,511948895.8333333,511956707.3333333
2025-09-17 17:46:03,1674.0,18819.833333333332,436678524.8333333,436685187.8333333
2025-09-17 17:52:04,6787.5,18997.0,544309017.0,544317322.3333334
2025-09-17 17:58:05,1625.1666666666667,18658.333333333332,436623750.8333333,436630413.0
2025-09-17 18:04:06,1479.1666666666667,19382.833333333332,476076545.3333333,476083809.5
2025-09-17 18:10:08,1317.1666666666667,27327.666666666668,753832742.6666666,753844245.0
2025-09-17 18:16:09,1302.0,15741.666666666666,375826199.1666667,375831933.6666667
2025-09-17 18:22:10,1215.3333333333333,13951.666666666666,326476554.1666667,326481535.6666667
2025-09-17 18:28:12,1140.1666666666667,13404.666666666666,316634834.6666667,316639666.0
2025-09-17 18:34:13,1021.3333333333334,12236.166666666666,291096861.1666667,291101302.8333333
2025-09-17 18:40:14,935.6666666666666,11017.5,260381572.5,260385545.5
2025-09-17 18:46:15,847.3333333333334,10161.833333333334,241812466.83333334,241816156.5
2025-09-17 18:52:17,754.8333333333334,9159.5,218939749.5,218943090.16666666
2025-09-17 18:58:18,662.5,8193.333333333334,197192085.83333334,197195094.66666666
2025-09-17 19:04:19,576.3333333333334,7204.0,174057241.5,174059897.33333334
2025-09-17 19:10:21,480.6666666666667,6136.5,149327634.0,149329912.5
2025-09-17 19:16:22,387.1666666666667,5050.333333333333,123833432.83333333,123835322.33333333
2025-09-17 19:22:23,301.3333333333333,3962.3333333333335,97388972.33333333,97390458.33333333
2025-09-17 19:28:24,220.83333333333334,2936.6666666666665,72440956.66666667,72442062.0
2025-09-17 19:34:26,153.66666666666666,2012.3333333333333,49371712.333333336,49372465.666666664
2025-09-17 19:40:27,103.5,1254.3333333333333,29928904.333333332,29929361.0
2025-09-17 19:46:28,62.0,781.8333333333334,18918551.833333332,18918840.5
2025-09-17 19:52:29,30.666666666666668,445.0,11239697.5,11239869.0
2025-09-17 19:58:31,12.0,226.16666666666666,6073136.166666667,6073228.833333333
2025-09-17 20:04:32,3.1666666666666665,89.5,2512264.5,2512302.8333333335
2025-09-17 20:10:33,1.0,23.5,600761.0,600770.1666666666
2025-09-17 20:16:35,0.0,7.0,152922.0,152924.33333333334
2025-09-17 20:22:36,0.0,2.0,65537.0,65538.0
2025-09-17 20:28:37,0.0,1.0,1.0,1.0
2025-09-17 20:34:38,0.0,0.0,0.0,0.0
2025-09-17 20:40:40,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
2025-09-17 20:46:41,0.0,0.0,0.0,0.0
2025-09-17 20:52:42,0.0,0.0,0.0,0.0
2025-09-17 20:58:44,0.0,0.0,0.0,0.0
2025-09-17 21:04:45,0.0,0.0,0.0,0.0
2025-09-17 21:10:46,0.0,0.0,0.0,0.0
2025-09-17 21:16:47,8.166666666666666,59.333333333333336,1004929.3333333334,1004944.6666666666
2025-09-17 21:22:49,7.833333333333333,56.0,928468.5,928482.6666666666
